2014-07-09|12:49:41|WorldCup v0.13.f|Match Stats File
MatchID|Team Side|Team Name|Goals Scored|Team Badge|Possession %|Shots|Shots On Goal|Corners|Fouls|Match Notice
28102403|Home|Brazil|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/brazil.png|47|18|8|7|11|No Special Notice
28102403|Away|Germany|7|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/germany.png|53|14|10|5|14|No Special Notice
28069209|Home|Argentina|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/argentina.png|46|10|2|3|11|No Special Notice
28069209|Away|Belgium|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/belgium.png|54|10|1|4|14|No Special Notice
28069208|Home|Netherlands|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/netherlands.png|67|20|8|11|15|DRAW - Netherlands win 4-3 on penalties
28069208|Away|Costa Rica|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/costa-rica.png|33|6|1|1|13|DRAW - Netherlands win 4-3 on penalties
28051800|Home|France|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/france.png|49|13|5|5|15|No Special Notice
28051800|Away|Germany|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/germany.png|51|9|3|3|18|No Special Notice
28051801|Home|Brazil|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/brazil.png|51|13|5|4|31|No Special Notice
28051801|Away|Colombia|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/colombia.png|49|11|2|6|23|No Special Notice
27990606|Home|Argentina|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/argentina.png|64|29|8|13|18|No Special Notice
27990606|Away|Switzerland|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/switzerland.png|36|15|4|5|29|No Special Notice
27990605|Home|Belgium|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/belgium.png|46|39|17|19|27|No Special Notice
27990605|Away|USA|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/usa.png|54|17|5|4|11|No Special Notice
27969976|Home|France|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/france.png|53|13|5|12|12|No Special Notice
27969976|Away|Nigeria|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/nigeria.png|47|9|2|9|15|No Special Notice
27969924|Home|Germany|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/germany.png|67|28|14|10|11|No Special Notice
27969924|Away|Algeria|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/algeria.png|33|10|4|4|20|No Special Notice
